table,geo,family_status,income_group,age_group,start_age,end_age,total_exp,housing_exp,food_exp,transportation_exp,clothing_exp,health_care_exp,child_care_and_education_exp,miscellaneous
Table 1,Overall United States,Married,"< $59,200",0 - 2,0,2,9690,3160,1310,1200,670,820,2080,450
Table 1,Overall United States,Married,"< $59,200",3 - 5,3,5,9700,3160,1350,1250,540,760,2080,560
Table 1,Overall United States,Married,"< $59,200",6 - 8,6,8,9330,3160,1930,1310,540,790,920,680
Table 1,Overall United States,Married,"< $59,200",9 - 11,9,11,9960,3160,2200,1350,690,900,920,740
Table 1,Overall United States,Married,"< $59,200",12 - 14,12,14,9570,3160,2290,1500,740,860,440,580
Table 1,Overall United States,Married,"< $59,200",15 - 17,15,17,9980,3160,2300,1690,720,910,640,560
Table 1,Overall United States,Married,"< $59,200",0 - 17,0,17,174690,56880,34140,24900,11700,15120,21240,10710
Table 1,Overall United States,Married,"$59,200 to $107,400",0 - 2,0,2,12680,3680,1580,1790,750,1180,2870,830
Table 1,Overall United States,Married,"$59,200 to $107,400",3 - 5,3,5,12730,3680,1690,1840,600,1110,2870,940
Table 1,Overall United States,Married,"$59,200 to $107,400",6 - 8,6,8,12350,3680,2280,1900,600,1130,1710,1050
Table 1,Overall United States,Married,"$59,200 to $107,400",9 - 11,9,11,13180,3680,2680,1940,780,1280,1710,1110
Table 1,Overall United States,Married,"$59,200 to $107,400",12 - 14,12,14,13030,3680,2780,2090,860,1240,1430,950
Table 1,Overall United States,Married,"$59,200 to $107,400",15 - 17,15,17,13900,3680,2790,2270,830,1300,2090,940
Table 1,Overall United States,Married,"$59,200 to $107,400",0 - 17,0,17,233610,66240,41400,35490,13260,21720,38040,17460
Table 1,Overall United States,Married,"> $107,400",0 - 2,0,2,19770,5460,2210,2590,1110,1580,5170,1650
Table 1,Overall United States,Married,"> $107,400",3 - 5,3,5,19790,5460,2320,2640,940,1490,5170,1770
Table 1,Overall United States,Married,"> $107,400",6 - 8,6,8,19380,5460,2960,2690,940,1440,4010,1880
Table 1,Overall United States,Married,"> $107,400",9 - 11,9,11,20700,5460,3570,2740,1180,1800,4010,1940
Table 1,Overall United States,Married,"> $107,400",12 - 14,12,14,21050,5460,3560,2890,1310,1740,4310,1780
Table 1,Overall United States,Married,"> $107,400",15 - 17,15,17,23380,5460,3720,3070,1280,1820,6270,1760
Table 1,Overall United States,Married,"> $107,400",0 - 17,0,17,372210,98280,55020,49860,20280,29610,86820,32340
Table 2,Urban Northeast,Married,"< $59,200",0 - 2,0,2,11240,3770,1360,1200,960,720,2740,490
Table 2,Urban Northeast,Married,"< $59,200",3 - 5,3,5,11220,3770,1390,1240,810,670,2740,600
Table 2,Urban Northeast,Married,"< $59,200",6 - 8,6,8,10850,3770,1990,1300,810,690,1570,720
Table 2,Urban Northeast,Married,"< $59,200",9 - 11,9,11,11520,3770,2270,1340,1000,800,1570,770
Table 2,Urban Northeast,Married,"< $59,200",12 - 14,12,14,11330,3770,2350,1490,1080,760,1260,620
Table 2,Urban Northeast,Married,"< $59,200",15 - 17,15,17,12120,3770,2370,1680,1050,810,1840,600
Table 2,Urban Northeast,Married,"< $59,200",0 - 17,0,17,204840,67860,35190,24750,17130,13350,35160,11400
Table 2,Urban Northeast,Married,"$59,200 to $107,400",0 - 2,0,2,14220,4380,1620,1780,1030,1060,3490,860
Table 2,Urban Northeast,Married,"$59,200 to $107,400",3 - 5,3,5,14270,4380,1730,1830,880,990,3490,970
Table 2,Urban Northeast,Married,"$59,200 to $107,400",6 - 8,6,8,13920,4380,2340,1890,880,1020,2320,1090
Table 2,Urban Northeast,Married,"$59,200 to $107,400",9 - 11,9,11,14760,4380,2740,1930,1090,1160,2320,1140
Table 2,Urban Northeast,Married,"$59,200 to $107,400",12 - 14,12,14,14820,4380,2850,2080,1200,1110,2210,990
Table 2,Urban Northeast,Married,"$59,200 to $107,400",15 - 17,15,17,16040,4380,2860,2270,1170,1170,3220,970
Table 2,Urban Northeast,Married,"$59,200 to $107,400",0 - 17,0,17,264090,78840,42420,35340,18750,19530,51150,18060
Table 2,Urban Northeast,Married,"> $107,400",0 - 2,0,2,21610,6510,2240,2590,1430,1440,5720,1680
Table 2,Urban Northeast,Married,"> $107,400",3 - 5,3,5,21610,6510,2350,2630,1250,1360,5720,1790
Table 2,Urban Northeast,Married,"> $107,400",6 - 8,6,8,21240,6510,3010,2690,1250,1320,4550,1910
Table 2,Urban Northeast,Married,"> $107,400",9 - 11,9,11,22560,6510,3620,2730,1540,1650,4550,1960
Table 2,Urban Northeast,Married,"> $107,400",12 - 14,12,14,23090,6510,3610,2880,1700,1590,4990,1810
Table 2,Urban Northeast,Married,"> $107,400",15 - 17,15,17,25720,6510,3780,3070,1660,1660,7260,1780
Table 2,Urban Northeast,Married,"> $107,400",0 - 17,0,17,407490,117180,55830,49770,26490,27060,98370,32790
Table 3,Urban West,Married,"< $59,200",0 - 2,0,2,10340,3710,1340,1190,840,740,2020,500
Table 3,Urban West,Married,"< $59,200",3 - 5,3,5,10340,3710,1370,1240,700,690,2020,610
Table 3,Urban West,Married,"< $59,200",6 - 8,6,8,9970,3710,1960,1300,710,710,850,730
Table 3,Urban West,Married,"< $59,200",9 - 11,9,11,10590,3710,2230,1340,860,820,850,780
Table 3,Urban West,Married,"< $59,200",12 - 14,12,14,10240,3710,2320,1490,930,790,370,630
Table 3,Urban West,Married,"< $59,200",15 - 17,15,17,10610,3710,2340,1680,900,830,540,610
Table 3,Urban West,Married,"< $59,200",0 - 17,0,17,186270,66780,34680,24720,14820,13740,19950,11580
Table 3,Urban West,Married,"$59,200 to $107,400",0 - 2,0,2,13340,4310,1600,1780,910,1090,2780,870
Table 3,Urban West,Married,"$59,200 to $107,400",3 - 5,3,5,13390,4310,1710,1830,760,1020,2780,980
Table 3,Urban West,Married,"$59,200 to $107,400",6 - 8,6,8,13030,4310,2310,1890,760,1050,1610,1100
Table 3,Urban West,Married,"$59,200 to $107,400",9 - 11,9,11,13850,4310,2710,1930,950,1190,1610,1150
Table 3,Urban West,Married,"$59,200 to $107,400",12 - 14,12,14,13700,4310,2810,2080,1040,1140,1320,1000
Table 3,Urban West,Married,"$59,200 to $107,400",15 - 17,15,17,14510,4310,2830,2270,1010,1200,1920,970
Table 3,Urban West,Married,"$59,200 to $107,400",0 - 17,0,17,245460,77580,41910,35340,16290,20070,36060,18210
Table 3,Urban West,Married,"> $107,400",0 - 2,0,2,20670,6400,2220,2580,1290,1480,5010,1690
Table 3,Urban West,Married,"> $107,400",3 - 5,3,5,20680,6400,2330,2630,1120,1390,5010,1800
Table 3,Urban West,Married,"> $107,400",6 - 8,6,8,20290,6400,2980,2690,1120,1350,3830,1920
Table 3,Urban West,Married,"> $107,400",9 - 11,9,11,21570,6400,3590,2730,1370,1680,3830,1970
Table 3,Urban West,Married,"> $107,400",12 - 14,12,14,21910,6400,3580,2880,1500,1630,4100,1820
Table 3,Urban West,Married,"> $107,400",15 - 17,15,17,24150,6400,3750,3070,1470,1700,5970,1790
Table 3,Urban West,Married,"> $107,400",0 - 17,0,17,387810,115200,55350,49740,23610,27690,83250,32970
Table 4,Urban Midwest,Married,"< $59,200",0 - 2,0,2,9460,3010,1220,1120,820,800,1970,520
Table 4,Urban Midwest,Married,"< $59,200",3 - 5,3,5,9460,3010,1260,1170,680,740,1970,630
Table 4,Urban Midwest,Married,"< $59,200",6 - 8,6,8,9060,3010,1820,1230,680,770,800,750
Table 4,Urban Midwest,Married,"< $59,200",9 - 11,9,11,9690,3010,2080,1270,840,890,800,800
Table 4,Urban Midwest,Married,"< $59,200",12 - 14,12,14,9310,3010,2160,1420,910,850,310,650
Table 4,Urban Midwest,Married,"< $59,200",15 - 17,15,17,9660,3010,2180,1610,880,900,450,630
Table 4,Urban Midwest,Married,"< $59,200",0 - 17,0,17,169920,54180,32160,23460,14430,14850,18900,11940
